document_id,field,value
OFF-MECCA-DC-147R4,air_volume_cmh,25000
OFF-MECCA-DC-147R4,dust_type,powder form
OFF-MECCA-DC-147R4,collector_type,pulse jet antistatic pleated polyester bag filter
OFF-MECCA-DC-147R4,location,outdoor ground level
OFF-MELSS-DC-160,air_volume_cmh,6000
OFF-MELSS-DC-160,dust_type,dry mix powder form
OFF-MELSS-DC-160,collector_type,pulse jet fabric polyester bag filter
OFF-MELSS-DC-160,no_of_suction_points,26
OFF-MELSS-DC-160,location,outdoor
OFF-ASCEND-DC-FES070624R5,air_volume_cfm,6500
OFF-ASCEND-DC-FES070624R5,air_volume_cmh,11045
OFF-ASCEND-DC-FES070624R5,no_of_suction_points,26
OFF-ASCEND-DC-FES070624R5,collector_type,pulse jet cartridge
OFF-ASCEND-DC-FES070624R5,location,multi-floor
OFF-RAPSRI-DC-203R1,air_volume_cmh,1200
OFF-RAPSRI-DC-203R1,collector_type,portable unit dust collector (UDC-2)
OFF-RAPSRI-DC-203R1,no_of_suction_points,1
OFF-OMENGG-DC-323,collector_type,"unit bag filter, manual handshaker"
OFF-OMENGG-DC-323,no_of_suction_points,1
OFF-ZFWABCO-OVEN-424R4,length_m,1.4
OFF-ZFWABCO-OVEN-424R4,width_m,1.4
OFF-ZFWABCO-OVEN-424R4,height_m,1.0
OFF-ZFWABCO-OVEN-424R4,operating_temp,80C
OFF-ZFWABCO-OVEN-424R4,oven_type,"batch, electric"
OFF-ZFWABCO-OVEN-424R4,heating_mode,wire element
OFF-SURFACE-OVEN-356R3,length_m,8.5
OFF-SURFACE-OVEN-356R3,width_m,3.5
OFF-SURFACE-OVEN-356R3,height_m,2.4
OFF-SURFACE-OVEN-356R3,operating_temp,230C
OFF-SURFACE-OVEN-356R3,oven_type,"camel back, conveyorised"
OFF-SURFACE-OVEN-356R3,job_weight_kg,150
OFF-SURFACE-OVEN-356R3,heating_mode,diesel fired
OFF-AG-FE-205R2,application,robot welding fume extraction with enclosure
OFF-AG-FE-205R2,length_m,3.43
OFF-AG-FE-205R2,width_m,3.56
OFF-AG-FE-205R2,height_m,2.39
OFF-AG-FE-205R2,air_volume_cfm,6000
OFF-ARMSTRONG-CONV-395,application,paint booth conveyor improvement
OFF-ARMSTRONG-CONV-395,overall_length_m,38
OFF-ARMSTRONG-CONV-395,system,manual
OFF-ECOCHIMNEYS-BLAST-072409R4,length_m,8
OFF-ECOCHIMNEYS-BLAST-072409R4,width_m,4
OFF-ECOCHIMNEYS-BLAST-072409R4,height_m,3
OFF-ECOCHIMNEYS-BLAST-072409R4,plant_type,semi abrasive recovery system
OFF-ECOCHIMNEYS-BLAST-072409R4,operation_method,manual
OFF-ECOCHIMNEYS-BLAST-072409R4,dust_collection,cartridge system
OFF-ECOCHIMNEYS-BLAST-072409R4,abrasive,steel grit
OFF-WHEELS-PT-97R4,job,hydraulic cylinder
OFF-WHEELS-PT-97R4,job_weight_kg,100
OFF-WHEELS-PT-97R4,pt_plant_design,6 stage nano coat conversion
OFF-WHEELS-PT-97R4,plant_type,conveyorised
OFF-WHEELS-PT-97R4,conveyor_speed_m_min,0.3
OFF-WHEELS-PT-97R4,operating_temp_c,80
OFF-TRIDENT-PT-198R2,max_envelope_size_mm,9000 x Dia 505
OFF-TRIDENT-PT-198R2,max_weight_kg,250
OFF-TRIDENT-PT-198R2,process_scheme,6 stage phosphating with 6 dip baskets
