document_id,item,amount,currency
OFF-MECCA-DC-147R4,dust_collection_system,3625350,INR
OFF-MELSS-DC-160,dust_collector,1352000,INR
OFF-MELSS-DC-160,ducts_dampers,662000,INR
OFF-ASCEND-DC-FES070624R5,grand_total,6410000,INR
OFF-RAPSRI-DC-203R1,unit,285000,INR
OFF-RAPSRI-DC-203R1,final_price,270750,INR
OFF-OMENGG-DC-323,unit,53500,INR
OFF-ZFWABCO-OVEN-424R4,oven,1352600,INR
OFF-ZFWABCO-OVEN-424R4,motorized_trolley,228400,INR
OFF-SURFACE-OVEN-356R3,conveyor,3020875,INR
OFF-SURFACE-OVEN-356R3,bake_oven,4179225,INR
OFF-SURFACE-OVEN-356R3,final_price,9000000,INR
OFF-AG-FE-205R2,grand_total,865750,INR
OFF-AG-FE-205R2,final_price,798000,INR
OFF-ARMSTRONG-CONV-395,supply,165000,INR
OFF-ARMSTRONG-CONV-395,installation,85000,INR
OFF-ECOCHIMNEYS-BLAST-072409R4,grand_total,3864400,INR
OFF-ECOCHIMNEYS-BLAST-072409R4,final_price,3300000,INR
OFF-WHEELS-PT-97R4,grand_total,9964925,INR
OFF-WHEELS-PT-97R4,final_price,8600000,INR
OFF-TRIDENT-PT-198R2,grand_total,12407100,INR
OFF-TRIDENT-PT-198R2,final_price,11166390,INR
OFF-YONEX-DUCT-286R2,duct,150000,INR
OFF-YONEX-DUCT-286R2,supports,70000,INR
OFF-YONEX-DUCT-286R2,erection,140000,INR
OFF-BAKERHUGHES-PB-275R3A,grand_total,4150400,INR
OFF-CRI-PB-082406R4,grand_total,7091800,INR
OFF-CRI-PB-082406R4,final_price,6000000,INR
OFF-DMN-PB-180624R3,grand_total,863000,INR
OFF-DMN-PB-180624R3,final_price,815000,INR
OFF-ELGI-PB-402R5,grand_total,2995460,INR
OFF-ELGI-PB-402R5,final_price,2695914,INR
OFF-GMR-PB-143R2,grand_total,2295000,INR
OFF-INNOTRANS-PB-344R4,grand_total,1395000,INR
OFF-INNOTRANS-PB-344R4,final_price,1365000,INR
OFF-KOBELCO-PB-86R2,booth_ahu,3150000,INR
OFF-KOBELCO-PB-86R2,exhaust_ducts,532500,INR
OFF-KOBELCO-PB-86R2,motorized_trolley,1505500,INR
OFF-KOBELCO-PB-86R2,sprinkler,575000,INR
OFF-RABWIN-PB-437R1,total,1626675,INR
OFF-RABWIN-PB-437R1,final_price,1226675,INR
OFF-SEPL-PB-289R1,stator_booth,378500,INR
OFF-SEPL-PB-289R1,rotor_booth,378500,INR
OFF-SEENIVASAN-PB-204R2,grand_total,510500,INR
OFF-SEENIVASAN-PB-204R2,final_price,485500,INR
OFF-STMSPA-PB-349R1,booth,258730,INR
OFF-STMSPA-PB-349R1,duct,19200,INR
OFF-STMSPA-PB-349R1,erection,40000,INR
OFF-SYNERGY-PB-209R3,booth_blower,1700000,INR
OFF-VALV-PB-133R6,paint_booth,795000,INR
OFF-VALV-PB-133R6,blasting_booth,1585000,INR
OFF-YONEX-PB-367,booth,605000,INR
OFF-ONLOAD-PCP-346R2,powder_booth_pulse_jet,1180550,INR
OFF-ONLOAD-PCP-346R2,manual_guns,624700,INR
OFF-ONLOAD-PCP-346R2,hot_air_oven,1063960,INR
OFF-ONLOAD-PCP-346R2,overhead_conveyor,421200,INR
OFF-ONLOAD-PCP-346R2,installation,400000,INR
OFF-ONLOAD-PCP-346R2,grand_total,3775410,INR
OFF-ONLOAD-PCP-346R2,final_price,3397869,INR
OFF-C2C-WS-178,scrubber,585000,INR
OFF-C2C-WS-20240921R1,unit_price,588000,INR
OFF-C2C-WS-20240921R1,grand_total,1176000,INR
OFF-OREN-WS-192,scrubber,1517100,INR
OFF-OREN-WS-192,duct,207100,INR
OFF-MECCA-WS-164,scrubber_system,1842500,INR
OFF-GROWEL-WS-190,scrubber_system,1213400,INR
OFF-GROWEL-WS-190,ducts,513750,INR
