document_id,field,value
OFF-MECCA-DC-147R4,air_volume_cmh,25000
OFF-MECCA-DC-147R4,collector_size_m,3.9L x 4.0W x 8.3H
OFF-MECCA-DC-147R4,casing_hopper_moc,MS 3mm
OFF-MECCA-DC-147R4,filter_bags,"needle felt antistatic polyester, Dia 160 x 2500mm - 225 nos"
OFF-MECCA-DC-147R4,solenoid_valve,2 inch flame proof - 15 nos
OFF-MECCA-DC-147R4,blower_type,centrifugal
OFF-MECCA-DC-147R4,blower_motor_hp,60
OFF-MECCA-DC-147R4,blower_drive,belt
OFF-MECCA-DC-147R4,blower_motor,FLP
OFF-MECCA-DC-147R4,exhaust_duct,MS 2mm Dia 700mm
OFF-MECCA-DC-147R4,rotary_airlock,0.5 HP - 2 nos
OFF-MECCA-DC-147R4,control_panel,"VFD ABB, PLC Delta, HMI Delta"
OFF-MELSS-DC-160,air_volume_cmh,6000
OFF-MELSS-DC-160,collector_size_m,2.4L x 1.7W x 5.5H
OFF-MELSS-DC-160,casing_hopper_moc,MS 3mm
OFF-MELSS-DC-160,filter_bags,"cartridge fabric polyester, Dia 225 x 1000mm - 24 nos"
OFF-MELSS-DC-160,solenoid_valve,2 inch - 4 nos
OFF-MELSS-DC-160,blower_type,centrifugal
OFF-MELSS-DC-160,blower_cmh,10200
OFF-MELSS-DC-160,blower_motor_hp,25
OFF-MELSS-DC-160,blower_drive,direct
OFF-MELSS-DC-160,blower_motor,NFLP
OFF-MELSS-DC-160,exhaust_duct,MS 2mm Dia 500mm - 6m
OFF-MELSS-DC-160,suction_duct,MS 2mm Dia 114 to 400mm - 135m
OFF-MELSS-DC-160,rotary_airlock,0.5 HP
OFF-ASCEND-DC-FES070624R5,air_volume_cfm,6500
OFF-ASCEND-DC-FES070624R5,collector_size_m,2.15L x 1.15W x 4.95H
OFF-ASCEND-DC-FES070624R5,casing_hopper_moc,MS 3mm
OFF-ASCEND-DC-FES070624R5,filter_bags,"cartridge polyester, Dia 225 x 1500mm - 18 nos"
OFF-ASCEND-DC-FES070624R5,solenoid_valve,1.5 inch - 6 nos
OFF-ASCEND-DC-FES070624R5,blower_motor_hp,40
OFF-ASCEND-DC-FES070624R5,blower_drive,belt
OFF-ASCEND-DC-FES070624R5,exhaust_duct,MS 2mm Dia 500mm - 8m
OFF-ASCEND-DC-FES070624R5,explosion_vent,570 x 470mm
